id;nombre;categoria;cocina;ambientacion;telefono;horario;direccion;barrio
240;LA CASONA DE CÁNDIDO;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4772 9643;;DORREGO 1717;Palermo
241;LA CONZUELO;RESTAURANTE;;;;;HONDURAS 5600;Palermo
242;LA CORTE;RESTAURANTE;TRADICIONAL;MODERNO;4775 0999;;AREVALO 2977;Palermo
243;LA CUPERTINA;RESTAURANTE;;;4777 3711;lunes a sábado 12 a 16 y de 20 al cierre - domingo de 20 al cierre;CABRERA, JOSE A. 5300;Palermo
244;LA DORITA;RESTAURANTE;PARRILLA;;4776 5653;;HUMBOLDT 1905;Palermo
245;LA ESQUINA DE AREVALO;RESTAURANTE;PARRILLA;BODEGA;4772 1809;;GUATEMALA 5944;Palermo
246;LA ESQUINA DE CHARCAS;RESTAURANTE;TRADICIONAL;MODERNO;4778 4799;;CHARCAS 4799;Palermo
247;LA ESQUINA DE LOS PENSAMIENTOS;CONFITERIA;;;4807 6417;;BERUTI 3897;Palermo
248;LA FAROLA;RESTAURANTE;TRADICIONAL;MODERNO;4833 4060;;ARAOZ 2341;Palermo
249;LA FONDA DE POLO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4772 8946;;BAEZ 301;Palermo
250;LA ESTANCIA;CONFITERIA;PARRILLA;MODERNO;4831 8015;;SANTA FE AV. 3954;Palermo
251;LA FINCA;RESTAURANTE;;;4832 3004;;COSTA RICA 4015;Palermo
252;LA GALERA;RESTAURANTE;REGIONAL;CLASICO PORTEÑO;4833 3311;;BORGES, JORGE LUIS 1627;Palermo
253;LA FONDUE;RESTAURANTE;ITALIANA;ITALIANA;4778 0110;;SEGUI, JUAN FRANCISCO 4674;Palermo
254;LA GRAN LULI;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4776 6687;;BONPLAND 2205;Palermo
255;LA HOGUERA;RESTAURANTE;;;;;CHARCAS 3390;Palermo
256;LA IMPRENTA;RESTAURANTE;TRADICIONAL;;4776 2836;lunes a domingo mediodía y noche;MIGUELETES 868;Palermo
257;LA MARISQUERIA;RESTAURANTE;MARISCOS;CLASICO PORTEÑO;4804 6400;;LAS HERAS GENERAL AV. 2743;Palermo
258;LA NIÑA DE ORO;RESTAURANTE;;;4772 4989;;SANTA FE AV. 4500;Palermo
259;LA MENSULA;RESTAURANTE;INTERNACIONAL;;4771 0130;lunes a domingo mediodía y noche;BAEZ 400;Palermo
260;LA NUEVA SAN AGUSTIN;RESTAURANTE;SANDWICHERIA;MODERNO;4801 4005;;LAS HERAS GENERAL AV. 2915;Palermo
261;LA OCHAVA;RESTAURANTE;PARRILLA;;4776 3122;lunes a domingo mediodía y noche;BAEZ 401;Palermo
262;LA PAILA;RESTAURANTE;TRADICIONAL;RUSTICA;4833 3599;;COSTA RICA 4848;Palermo
263;LA PALOMA DE PALERMO;RESTAURANTE;;;;;CHARCAS 5300;Palermo
264;LA PASCANA;RESTAURANTE;ITALIANA;RUSTICA;4777 2276;;PARAGUAY 5100;Palermo
265;LA PASCANO;RESTAURANTE;;;;;PARAGUAY 5498;Palermo
266;LA PEPONA;CAFE;MINUTAS;MODERNO;4772 2486;;THAMES 2482;Palermo
267;LA PEÑA DEL COLORADO;RESTAURANTE;REGIONAL;FOLKLORICO;4822 1038;;GUEMES 3653;Palermo
268;LA PERGOLA;CAFE;PIZZERIA;CLASICO PORTEÑO;4771 5188;;VEGA, NICETO, Cnel. AV. 5909;Palermo
269;LA PHARMACIE;RESTAURANTE;;;;;REPUBLICA DOMINICANA 3494;Palermo
270;LA PLACITA;RESTAURANTE;INTERNACIONAL;BODEGA;4832 6444;;SERRANO 1600;Palermo
271;LA PIARA;RESTAURANTE;PARRILLA;;4807 6342;;LAS HERAS GENERAL AV. 3541;Palermo
272;LA PLAZA;RESTAURANTE;TENEDOR LIBRE;;;;BORGES, JORGE LUIS 2380;Palermo
273;LA PRIMA;RESTAURANTE;;;;;GORRITI 5505;Palermo
274;LA PULPERIA;RESTAURANTE;TRADICIONAL;MODERNO;4774 5445;;GODOY CRUZ 2803;Palermo
275;LA ROMUALDA;RESTAURANTE;PARRILLA;MODERNO;4771 3285;;FITZ ROY 1579;Palermo
276;LA RAYA;RESTAURANTE;TRADICIONAL;MODERNO;4802 5763;lunes a domingo mediodía y noche;ORTIZ DE OCAMPO 2566;Palermo
277;LA VERBENA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4777 9324;;SOLDADO DE LA INDEPENDENCIA 1003;Palermo
278;LA VIEJA BODEGA;RESTAURANTE;MEDITERRANEA;MODERNO;4899 2444;;BONPLAND 1577;Palermo
279;LA VIGNOLE;VINERIA;MODERNO;;4899 0973;;GUATEMALA 5776;Palermo
280;LAS CHOLAS;VINERIA;REGIONAL;RUSTICA;4899 0094;;ARCE 306;Palermo
281;LAS CORTADERAS;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4827 2487;;CHARCAS 3647;Palermo
282;LELE DE TROYA;RESTAURANTE;MEDITERRANEA;MODERNO;4832 2726;lunes a domingo de 9 al cierre;COSTA RICA 4901;Palermo
283;LASAGNERIA CUSINA GOURMET;RESTAURANTE;ITALIANA;MODERNO;4805 0050;;CABELLO 3631;Palermo
284;LINA;RESTAURANTE;CHINA;;4803 0914;lunes a lunes de 12 a 15 y de 20 a 00.;CABELLO 3419;Palermo
285;LIZZIES;RESTAURANTE;INTERNACIONAL;MODERNO;4711 3597;;DEL LIBERTADOR AV. 3457;Palermo
286;LO DE LOLA;RESTAURANTE;MEDITERRANEA;ANTIGUO;4832 7179;;URIARTE 1697;Palermo
287;LO DE JESUS;RESTAURANTE;TRADICIONAL;BODEGA;4831 1961;lunes a lunes de 10 al cierre;GURRUCHAGA 1406;Palermo
288;LO DE PUEYRREDON;RESTAURANTE;REGIONAL;COLONIAL;4773 7790;;ARMENIA 1378;Palermo
289;LO ROMUALDO;RESTAURANTE;;;;;FITZ ROY 1574;Palermo
290;LOMO;RESTAURANTE;TRADICIONAL;MINIMALISTA;4833 3200;lunes de 20.30 al cierre - martes a domingo de 13 al cierre;COSTA RICA 4661;Palermo
291;LOS DIOSES;CONFITERIA;INTERNACIONAL;GRIEGA;4325 1400;;MAIPU 371;San Nicolas
293;LOTUS NEO THAI;RESTAURANTE;TAILANDESA;TAILANDESA;4771 4449;;ORTEGA Y GASSET 1782;Palermo
294;LUCIO;RESTAURANTE;PIZZERIA;MODERNO;4831 5513;;GUEMES 4019;Palermo
295;L'AIGLON;RESTAURANTE;TRADICIONAL;ANTIGUO;4951 7980;;CALLAO AV. 98;Balvanera
296;LULY CAFE;RESTAURANTE;MINUTAS;MODERNO;4831 1947;;BERUTI 3796;Palermo
297;MAFALDA;RESTAURANTE;INTERNACIONAL;;4832 7847;;BERUTI 3816;Palermo
298;MAKORI;CAFE;;;4775 5178;;SANTA FE AV. 4202;Palermo
299;MAITE;CAFE;TRADICIONAL;MODERNO;4807 5565;;LAS HERAS GENERAL AV. 3786;Palermo
300;MALASARTES;RESTAURANTE;INTERNACIONAL;ANTIGUO;4831 0743;;HONDURAS 4999;Palermo
301;MALDITO SALVADOR;RESTAURANTE;MEDITERRANEA;;4832 1765;lunes a domingo de 10 al cierre;EL SALVADOR 4960;Palermo
302;MALOUVA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4774 0427;;CHARCAS 4401;Palermo
303;MALUVA PIZZA;RESTAURANTE;PIZZERIA;MODERNO;4822 2599;;SANCHEZ DE BUSTAMANTE 2014;Recoleta
304;MAMBO;RESTAURANTE;INTERNACIONAL;;4778 0115;lunes a sábado de 20 a 00;BAEZ 243;Palermo
305;MAMA RACHA;RESTAURANTE;;;;;COSTA RICA 4602;Palermo
306;MAMMA ZN;RESTAURANTE;;;;;HUMBOLDT 1645;Palermo
307;MANAS;;DE AUTOR;;4834 6206;martes a sábado de 11 al cierre;ARMENIA 1453;Palermo
308;MANGLA LOUNGE;RESTAURANTE;INTERNACIONAL;BRITANICA;4774 1787;;ARGUIBEL, ANDRES 2859;Palermo
309;MANDOLINA;;DE AUTOR;MODERNO;4805 5550;lunes a lunes de 12 a 15 y de 20 al cierre;BOLLINI 2138;Recoleta
310;MANOLO;BAR;;ANTIGUO;4804 4297;;CABELLO 3958;Palermo
311;MANUCHO;RESTAURANTE;INTERNACIONAL;;4824 3679;;BERUTI 3479;Palermo
312;MARENGO;RESTAURANTE;;;4829 9010;;ALVAREZ, JULIAN 2774;Palermo
313;MARHABA 2000;RESTAURANTE;ARABE;ARABE;4833 4222;;SCALABRINI ORTIZ, RAUL AV. 1550;Palermo
314;MARIA FULÃ¢â‚¬Å“;RESTAURANTE;BRASILERA;BRASILERA;4831 0103;martes a sábado noche sábado y domingo mediodía y noche;CABRERA, JOSE A. 5065;Palermo
315;MARIA FELIX;RESTAURANTE;MEXICANA;MEXICANO;4775 0380;;SOLDADO DE LA INDEPENDENCIA 1150;Palermo
316;MARINI;RESTAURANTE;INTERNACIONAL;MODERNO;4831 5277;;SANTA FE AV. 3666;Palermo
317;MARK'S DELI & COFFEE HOUSE;RESTAURANTE;SANDWICHERIA;DISEÑO;4832 6244;;EL SALVADOR 4701;Palermo
318;MARTINEZ;RESTAURANTE;MINUTAS;MODERNO;4776 1870;;SANTA FE AV. 4298;Palermo
319;MARROCO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4317 8673;;GUEMES 3902;Palermo
320;MATU CAFE;RESTAURANTE;MINUTAS;MODERNO;;;SANTA FE AV. 3870;Palermo
321;MAXIMO;BAR;;;;;HONDURAS 5551;Palermo
322;MC NOR;BAR;;;4804 5718;;JUNCAL 3599;Palermo
323;MC DONALD'S;BAR;FAST FOOD;MODERNO;;;CABILDO AV. 742;Colegiales
324;MC DONALD'S;BAR;FAST FOOD;MODERNO;;;SCALABRINI ORTIZ, RAUL 3149;Palermo
325;MC DONALD'S;BAR;FAST FOOD;MODERNO;;;SANTA FE AV. 4601;Palermo
326;MC DONALD'S;BAR;FAST FOOD;MODERNO;;;SCALABRINI ORTIZ, RAUL AV. 2034;Palermo
327;MC DONALD'S;BAR;FAST FOOD;MODERNO;;;SANTA FE AV. 4280;Palermo
328;MC DONALD'S;BAR;FAST FOOD;MODERNO;;;CAMPOS, LUIS M. AV. 900;Palermo
329;MC DONALD'S;BAR;FAST FOOD;MODERNO;;;SANTA FE AV. 4280;Palermo
330;MC DONALD'S;BAR;FAST FOOD;MODERNO;;;SALGUERO, JERONIMO 3172;Palermo
331;ME LEVA BRASIL;CAFE;BRASILERA;BRASILERA;4832 4290;;COSTA RICA 4488;Palermo
332;MERIDIANO 58;;TRADICIONAL;MINIMALISTA;4833 3443;;BORGES, JORGE LUIS 1689;Palermo
333;MILLION;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4815 9925;lunes a viernes de 12 a 3;PARANA 1048;Recoleta
334;METAMORFOSIS;SANDWICHERIA;;;4775 3113;;BONPLAND 1643;Palermo
335;MINI BAR;RESTAURANTE;;;4825 8161;;SALGUERO, JERONIMO 1935;Palermo
336;MIS ANTOJOS;CAFE;;CLASICO PORTEÑO;;;DIAZ, CNEL. AV. 1780;Palermo
337;MONTECARLO;BAR;;;;;PARAGUAY 5199;Palermo
338;MISTER PEPPER;CAFE;;;;;BAEZ 121;Palermo
339;MORELIA;BAR;;;;;HUMBOLDT 2000;Palermo
340;MUNDANO;RESTAURANTE;MEDITERRANEA;DISEÑO;4831 5667;;MALABIA 1401;Palermo
341;MUSEO RENAULT;RESTAURANTE;INTERNACIONAL;AUTOS;4802 9626;;FIGUEROA ALCORTA, PRES. AV. 3399;Palermo
342;MUNDO BIZARRO;RESTAURANTE;AMERICANA;AMERICANO;4773 1967;lunes a domingo de 20 al cierre;SERRANO 1222;Palermo
343;MY HOUSE;RESTAURANTE;MINUTAS;MODERNO;4807 4546;;SALGUERO, JERONIMO 2998;Palermo
344;MYKONOS;RESTAURANTE;;;4779 900;;OLLEROS AV. 1752;Palermo
345;NEMO;RESTAURANTE;MEDITERRANEA;MARINA;4802 5308;;CABELLO 3672;Palermo
346;NICETO CLUB;BAR;INTERNACIONAL;DISEÑO;4779 9396;;VEGA, NICETO, Cnel. AV. 5510;Palermo
347;NINJA ROBATA SUSHI BAR;RESTAURANTE;SUSHI;MODERNO;4778 1402;;CAMARGO 1300;Villa Crespo
348;NOVECENTO;RESTAURANTE;INTERNACIONAL;MODERNO;4778 1900;;BAEZ 199;Palermo
349;NO SE LO DIGAS A NADIE;RESTAURANTE;DE AUTOR;;4806 1877;;SARMIENTO 2725;Balvanera
350;NUCHA;RESTAURANTE;FAST FOOD;MODERNO;4802 1615;;SALGUERO, JERONIMO 2587;Palermo
351;NUEVO GUISE;BAR;PIZZERIA;MODERNO;4823 8585;;GUISE 1902;Palermo
352;OBOLO;RESTAURANTE;ITALIANA;ANTIGUO;4826 8222;;SALGUERO, JERONIMO 1440;Palermo
353;NUEVO HERMANN;BAR;INTERNACIONAL;CLASICO PORTEÑO;4813 8904;;GUEMES 4202;Palermo
354;OCEAN BLUE;RESTAURANTE;;;4777 8029;;FRAY JUSTO SANTAMARIA DE ORO 2476;Palermo
355;OLIVIA;RESTAURANTE;MEDITERRANEA;MODERNO;4774 2020;;GODOY CRUZ 3214;Palermo
356;OMM;RESTAURANTE;DE AUTOR;MINIMALISTA;4774 4224;lunes de 18 al cierre - martes a domingo de 12 al cierre;HONDURAS 5656;Palermo
357;OLSEN;RESTAURANTE;DE AUTOR;DISEÑO;4776 7677;martes a sábado de 12 al cierre - domingo de 10.30 al cierre;GORRITI 5870;Palermo
358;OPORTO;RESTAURANTE;MINUTAS;MODERNO;4831 0691;lunes a domingo de 7 a 1;SCALABRINI ORTIZ, RAUL AV. 2101;Palermo
359;ORGANIC`S;RESTAURANTE;NATURISTA;RUSTICA;4776 2020;;MAURE 1643;Palermo
360;OTTO GÓRGUELL;RESTAURANTE;ALEMANA;RUSTICA;4773 8304;;HUMBOLDT 1587;Palermo
361;OVIEDO;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4776 7693;;GUATEMALA 5501;Palermo
362;PACIFICO;RESTAURANTE;MEDITERRANEA;DISEÑO;4776 0205;;HONDURAS 5564;Palermo
363;PABELLON;RESTAURANTE;AFRODISIACA;MODERNO;4772 8745;;URIARTE 1332;Palermo
364;PALADAR;RESTAURANTE;PARRILLA;RUSTICA;4833 5885;martes a sábado de 10 al cierre - domingo y lunes de 10 a 17;MALABIA 1510;Palermo
365;PALERMO;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4773 7951;;SANTA FE AV. 4599;Palermo
366;PALERMO VIEJO;RESTAURANTE;;;;;THAMES 2319;Palermo
367;PALO MARIA;RESTAURANTE;TRADICIONAL;MODERNO;4778 1537;;GODOY CRUZ 2850;Palermo
368;PANINI CAFE;RESTAURANTE;;;4800 1210;;BULNES 2776;Palermo
369;PAMPA;RESTAURANTE;REGIONAL;ANTIGUO;4832 6487;lunes a domingo de 10 al cierre;HONDURAS 5143;Palermo
370;PAPINI;CAFE;MINUTAS;MODERNO;4807 1354;;SCALABRINI ORTIZ, RAUL 2890;Palermo
371;PARAISO;CAFE;PARRILLA;RUSTICA;;lunes a viernes de 12 a 16;ARAOZ 1227;Palermo
372;PARRI BURGER;RESTAURANTE;FAST FOOD;MODERNO;4772 8445;;GUEMES 4403;Palermo
373;PARRILLA EL PRIMO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4775 0150;;BAEZ 302;Palermo
374;PARRILLA DON ROGELIO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4771 6800;;DORREGO AV. 2720;Palermo
376;PATA NEGRA;RESTAURANTE;ESPAÑOLA;ESPAÑOL;4805 6657;;SCALABRINI ORTIZ, RAUL 3096;Palermo
377;PEOPLE I;RESTAURANTE;;;;;SCALABRINI ORTIZ, RAUL AV. 280;Villa Crespo
378;PECARÁS;RESTAURANTE;DE AUTOR;;4831 1112;martes a sábado de 20 al cierre;HONDURAS 5237;Palermo
379;PEPA;RESTAURANTE;DE AUTOR;MODERNO;4833 5745;;EL SALVADOR 4757;Palermo
380;PERICA;RESTAURANTE;FAST FOOD;MODERNO;4802 4907;;DEL LIBERTADOR AV. 2004;Palermo
381;PETIT CAFE;CONFITERIA;MINUTAS;CLASICO PORTEÑO;4887 6620;;UGARTECHE 2810;Palermo
382;PERSICCO;RESTAURANTE;TRADICIONAL;MODERNO;4808 0888;;SALGUERO, JERONIMO 2591;Palermo
383;PIACERE;CONFITERIA;TRADICIONAL;CLASICO PORTEÑO;4788 3855;;CABILDO AV. 1101;Palermo
384;PIACERE;CONFITERIA;SANDWICHERIA;MODERNO;4807 3666;;LAS HERAS GENERAL AV. 2899;Palermo
385;PICAS;RESTAURANTE;TAPAS;RUSTICA;4776 5835;;BONPLAND 1920;Palermo
386;PIZZA AL CORTE;RESTAURANTE;;;4771 2480;;HONDURAS 5504;Palermo
387;PINUT;RESTAURANTE;MINUTAS;MODERNO;4822 0888;lunes a domingo de 7.30 a 12.30;MANSILLA, LUCIO NORBERTO, GENERAL 3892;Palermo
388;PIZZA PET;RESTAURANTE;PIZZERIA;MEDITERRANEO;4771 2646;;SANTA FE AV. 5288;Palermo
389;PIZZA QUE?;RESTAURANTE;PIZZERIA;;4833 3165;;CHARCAS 4037;Palermo
390;PIZZA PLAZA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4802 7810;;LAS HERAS GENERAL AV. 3293;Palermo
391;PIZZA TRACY;RESTAURANTE;FAST FOOD;MODERNO;;;SALGUERO, JERONIMO 3172;Palermo
392;PLAZA DONNA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4822 0785;;SANTA FE AV. 3202;Palermo
393;PLAZA DEL CÁRMEN;RESTAURANTE;INTERNACIONAL;MODERNO;4778 4500;;SANTA FE AV. 3402;Palermo
394;PODEST;RESTAURANTE;SANDWICHERIA;MODERNO;4832 2776;;ARMENIA 1740;Palermo
395;PORTALS;BAR;;;;;BULNES 1400;Palermo
396;POSITANO;RESTAURANTE;REGIONAL;ITALIANA;4772 7539;;OLLEROS AV. 1760;Palermo
397;PORTO PIZZA;BAR;PIZZERIA;MODERNO;4800 1112;;SALGUERO, JERONIMO 2671;Palermo
398;PUBLICO;RESTAURANTE;MEDITERRANEA;MODERNO;4834 63229;;GORRITI 5054;Palermo
399;PUNTO SUR;CAFE;MINUTAS;CLASICO PORTEÑO;4821 0687;;CHARCAS 3615;Palermo
400;PYZZADELICA;CAFE;PIZZERIA;MODERNO;4777 0363;;BAEZ 207;Palermo
401;QUEBEQ;RESTAURANTE;;;;;PARAGUAY 4683;Palermo
402;QUENTIN;RESTAURANTE;INTERNACIONAL;ANTIGUO;4774 2563;;AREVALO 1502;Palermo
403;QUENTIN;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4778 9318;;BAEZ 390;Palermo
404;QUILATE;RESTAURANTE;;;4827 0578;;DIAZ, CNEL. AV. 2189;Recoleta
405;RASTRO;BAR;MINUTAS;COLONIAL;;lunes a viernes de 10 a 19;CABRERA, JOSE A. 4199;Palermo
406;RAVELLO;RESTAURANTE;INTERNACIONAL;MODERNO;4770 9400;;HONDURAS 5906;Palermo
407;RAVE;BAR;INTERNACIONAL;MODERNO;4833 7832;;GORRITI 5052;Palermo
409;REGGIO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4774 5656;;GUATEMALA 5798;Palermo
410;RESTODANTE;RESTAURANTE;INTERNACIONAL;RUSTICA;4899 0930;;HONDURAS 5535;Palermo
411;REGIO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4775 9293;;SINCLAIR 2934;Palermo
412;RESTOURANT PASO;RESTAURANTE;;;;;CHARCAS 3382;Palermo
413;RICHARD'S;BAR;MINUTAS;CLASICO PORTEÑO;4821 6188;;ALVAREZ, JULIAN 2409;Palermo
414;RIO ALBA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4773 5748;;CERVIÑO AV. 4499;Palermo
415;RINCON SALTEÑO;BAR;REGIONAL;RUSTICA;4775 9777;lunes a domingo de 12 a 16 y de 20 al cierre;CARRANZA, ANGEL JUSTINIANO 1996;Palermo
416;RISTRETTO;RESTAURANTE;SANDWICHERIA;MODERNO;4822 4800;;SANTA FE AV. 3199;Recoleta
417;ROMARIO;RESTAURANTE;PIZZERIA;MODERNO;4511 4444;;CABELLO 3700;Palermo
418;ROMARIO;RESTAURANTE;;;;;FITZ ROY 2104;Palermo
419;RONDIZ DE PALERMO;RESTAURANTE;MEDITERRANEA;MEDITERRANEO;15 5003 5619;;BONPLAND 1694;Palermo
420;ROND POINT;RESTAURANTE;MINUTAS;MODERNO;4802 0790;;FIGUEROA ALCORTA, PRES. AV. 3009;Palermo
421;ROOF;RESTAURANTE;MEDITERRANEA;ANTIGUO;4867 5888;lunes de 8.30 a 1 - martes a sábado de 12.30 al cierre;COSTA RICA 4001;Palermo
422;RUISEÑOR;BAR;TRADICIONAL;CLASICO PORTEÑO;;;LAS HERAS GENERAL AV. 3499;Palermo
423;RUM PUAM;BAR;;;;;GUATEMALA 5499;Palermo
424;S. F UN LUGAR;RESTAURANTE;MEDITERRANEA;CLASICO PORTEÑO;4831 1441;;CABRERA, JOSE A. 4849;Palermo
425;SAGRADO;RESTAURANTE;DE AUTOR;;4833 5771;;EL SALVADOR 4714;Palermo
426;SACHA;RESTAURANTE;INTERNACIONAL;;4773 8988;;NICARAGUA 5901;Palermo
427;SAINT MARGARET;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;4802 2161;;LAS HERAS GENERAL AV. 2801;Palermo
428;SANTINO;RESTAURANTE;ITALIANA;CLASICO PORTEÑO;4779 9060;;BAEZ 196;Palermo
429;SAQQUARA;RESTAURANTE;;;;;HONDURAS 5717;Palermo
430;SAPORO SUSHI;RESTAURANTE;SUSHI;RUSTICA;4833 0700;;COSTA RICA 4875;Palermo
431;SATAY;RESTAURANTE;;;4833 6565;;ARMENIA 2475;Palermo
432;SCUZI;RESTAURANTE;TRADICIONAL;MODERNO;4804 2900;;CABELLO 3601;Palermo
433;SEMETRIO;RESTAURANTE;MEDITERRANEA;PSICODELICO;4772 0368;;HONDURAS 5714;Palermo
435;SHI YUAN;RESTAURANTE;CHINA;CHINA;4804 0607;;TAGLE 2531;Recoleta
436;SEVEN;RESTAURANTE;INTERNACIONAL;BOHEMIO;4770 9698;;GORRITI 5802;Palermo
437;SIGA LA VACA;RESTAURANTE;;;4781 4704;;OBLIGADO RAFAEL, Av.Costanera 3640;Palermo
438;SIGI;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4824 4366;;SALGUERO, JERONIMO 1905;Palermo
439;SIRELIS;CAFE;SANDWICHERIA;MODERNO;4775 8022;;GUATEMALA 5800;Palermo
440;SOCIAL PARAISO;CAFE;INTERNACIONAL;AMERICANO;4831 4556;martes a sábado de 12 a 16 y de 20 al cierre;HONDURAS 5182;Palermo
441;SINCLAIR;RESTAURANTE;ESPAÑOLA;ART- DECO;4899 0283;;SINCLAIR 3096;Palermo
442;SONOMAN;RESTAURANTE;GOURMET;MODERNO;4771 5435;;FITZ ROY 1655;Palermo
443;SOSTIENE PEREIRA;RESTAURANTE;MEDITERRANEA;ROMANTICO;4773 9392;;FRAY JUSTO SANTAMARIA DE ORO 2899;Palermo
444;SPIRIT;RESTAURANTE;TAPAS;DISEÑO;4833 4360;lunes a domingo de 10 al cierre;SERRANO 1550;Palermo
445;SOUL CAFE;RESTAURANTE;DE AUTOR;PSICODELICO;4778 3115;;BAEZ 246;Palermo
446;SPLENDID;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4833 4477;;GORRITI 5099;Palermo
447;STONE BAR- PHILOSOPHY;RESTAURANTE;;;4773 6005;;GORRITI 5578;Palermo
448;STEFANO;RESTAURANTE;MINUTAS;MODERNO;4833 5833;lunes a domingo de 8 a 20;GASCON 1791;Palermo
449;SUDESTADA;RESTAURANTE;ORIENTAL;MODERNO;4776 3777;lunes a sábado de 12 a 15.30 - lunes a miércoles de 20.30 a 2;GUATEMALA 5602;Palermo
450;SULIVAN'S;RESTAURANTE;INTERNACIONAL;IRLANDES;4832 6442;;BORGES, JORGE LUIS 1702;Palermo
451;SUPER PIZZA;RESTAURANTE;INTERNACIONAL;MODERNO;4777 6461;;GODOY CRUZ 2851;Palermo
452;T.G.I. FRIDAY'S;RESTAURANTE;AMERICANA;AMERICANO;1557778284;;DIAZ, CNEL. AV. 1900;Palermo
454;TA! CHIVITO;RESTAURANTE;URUGUAYA;CLASICO PORTEÑO;4807 6630;;SCALABRINI ORTIZ, RAUL 3193;Palermo
455;TABARE;RESTAURANTE;INTERNACIONAL;TANGO;4821 7598;;CHARCAS 3387;Palermo
456;TAGLE;RESTAURANTE;INTERNACIONAL;;4802 9570;lunes a viernes de 12 a 16;TAGLE 2621;Recoleta
457;TATANA;RESTAURANTE;;;4779 9267;;GORRITI 5516;Palermo
458;TE MATARE RAMIREZ;RESTAURANTE;MEDITERRANEA;ROMANTICO;4831 9156;lunes a domingo de 12 a 15 y de 21 a 1;PARAGUAY 4062;Palermo
459;THE COFEE STORE;;;CLASICO PORTEÑO;4773 4488;lunes a domingo de 20 a 00;NEWBERY, JORGE 1651;Palermo
460;TERTULIANO;RESTAURANTE;;;;;HUMBOLDT 1549;Palermo
461;THE COFFEE STORE;CONFITERIA;MINUTAS;MODERNO;1557778945;;SANTA FE AV. 2353;Recoleta
462;THYMUS;CONFITERIA;FRANCESA;FRANCES;4772 1936;martes a sábado de 20.30 a 00.30;LERMA 525;Villa Crespo
463;TIEMPO DE GITANOS;RESTAURANTE;ESPAÑOLA;GITANA;4776 6143;;EL SALVADOR 5575;Palermo
464;TIERRA COFFEE;RESTAURANTE;;;4776 6579;;HONDURAS 5700;Palermo
465;TON & SON;RESTAURANTE;;;;;HONDURAS 5500;Palermo
466;TRUMAN;RESTAURANTE;;;1540379120;;SERRANO 1148;Villa Crespo
467;TONNO;RESTAURANTE;TRADICIONAL;MODERNO;4776 0360;;ARCE 401;Palermo
468;TUCSON STEAK HOUSE & BAR;RESTAURANTE;REGIONAL;AMERICANO;4576 2060;;SALGUERO, JERONIMO 2741;Palermo
469;TZOLKIN;RESTAURANTE;PORTEÑA;MODERNO;4779 1088;;BORGES, JORGE LUIS 2088;Palermo
470;UMMO;RESTAURANTE;FUSION;;4833 5676;lunes a domingo de 12 al cierre;GORRITI 4918;Palermo
471;UTOPIA;RESTAURANTE;MINUTAS;MUSICAL;4831 8572;;SERRANO 1590;Palermo
472;VALDERRAMA;RESTAURANTE;PIZZERIA;;4899 1234;lunes a domingo mediodía y noche;AREVALO 2725;Palermo
473;VALDES;RESTAURANTE;MINUTAS;MODERNO;4774 8111;;GUATEMALA 5905;Palermo
474;VAN KONING;RESTAURANTE;INTERNACIONAL;;4772 9909;lunes a domingo noche;BAEZ 325;Palermo
475;VARELA VARELI;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;SCALABRINI ORTIZ, RAUL AV. 2102;Palermo
476;VELUET;RESTAURANTE;INTERNACIONAL;MODERNO;4823 7770;;SALGUERO, JERONIMO 1807;Palermo
477;VERA CRUZ;RESTAURANTE;MEXICANA;MEXICANO;4833 6958;;GODOY CRUZ 1819;Palermo
478;VIA PACIFICO;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4771 0266;;SANTA FE AV. 4600;Palermo
479;VIEJO AGUMP;RESTAURANTE;ARMENIA;ANTIGUO;4773 5081;lunes a viernes de 8 al cierre sábado de 12 al cierre;ARMENIA 1382;Palermo
480;VIEJO AMIGO;RESTAURANTE;MINUTAS;;4778 1513;;EL SALVADOR 5763;Palermo
